response,age,income,response_pt_2,age_range,trigrams
"We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet.",51.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?     We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet. ",45-54,"[('disability', 'hard', 'time'), ('hard', 'time', 'making'), ('time', 'making', 'ends'), ('making', 'ends', 'meet'), ('ends', 'meet', 'choose'), ('meet', 'choose', 'food'), ('choose', 'food', 'medication'), ('food', 'medication', 'paid'), ('medication', 'paid', 'strawberry'), ('paid', 'strawberry', 'money'), ('strawberry', 'money', 'morgagate'), ('money', 'morgagate', 'escrow'), ('morgagate', 'escrow', 'account'), ('escrow', 'account', 'money'), ('account', 'money', 'taxes'), ('money', 'taxes', 'took'), ('taxes', 'took', 'money'), ('took', 'money', 'paid'), ('money', 'paid', 'something'), ('paid', 'something', 'else'), ('something', 'else', 'struggling'), ('else', 'struggling', 'buy'), ('struggling', 'buy', 'food'), ('buy', 'food', 'medication'), ('food', 'medication', 'pay'), ('medication', 'pay', 'bills'), ('pay', 'bills', 'hoping'), ('bills', 'hoping', 'extra'), ('hoping', 'extra', 'stimulus'), ('extra', 'stimulus', 'check'), ('stimulus', 'check', 'help'), ('check', 'help', 'get'), ('help', 'get', 'us'), ('get', 'us', 'feet')]"
give me some mony,42.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  give me some mony,35-44,[]
Struggling financially,32.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Struggling financially,25-34,[]
Hurts when shopping for groceries as prises are high,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Hurts when shopping for groceries as prises are high ,55-64,"[('hurts', 'shopping', 'groceries'), ('shopping', 'groceries', 'prises'), ('groceries', 'prises', 'high')]"
We are behind on bills.,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We are behind on bills.,35-44,[]
It makes it very difficult to consider buying household goods and food I need,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It makes it very difficult to consider buying household goods and food I need ,55-64,"[('makes', 'difficult', 'consider'), ('difficult', 'consider', 'buying'), ('consider', 'buying', 'household'), ('buying', 'household', 'goods'), ('household', 'goods', 'food'), ('goods', 'food', 'need')]"
It makes me feel less optimistic about the future,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It makes me feel less optimistic about the future ,55-64,"[('makes', 'feel', 'less'), ('feel', 'less', 'optimistic'), ('less', 'optimistic', 'future')]"
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,"[('great', 'hard', 'keep'), ('hard', 'keep', 'bills'), ('keep', 'bills', 'monthly'), ('bills', 'monthly', 'subscriptions'), ('monthly', 'subscriptions', 'let'), ('subscriptions', 'let', 'alone'), ('let', 'alone', 'things'), ('alone', 'things', 'need'), ('things', 'need', 'like'), ('need', 'like', 'food'), ('like', 'food', 'toilet'), ('food', 'toilet', 'paper'), ('toilet', 'paper', 'etc')]"
negatively,20.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  negatively,18-24,[]
Increased debt,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Increased debt,55-64,[]
"1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet.",31.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet. ",25-34,"[('1am', 'still', 'working'), ('still', 'working', 'pay'), ('working', 'pay', 'hours'), ('pay', 'hours', 'cut'), ('hours', 'cut', 'savings'), ('cut', 'savings', 'selling'), ('savings', 'selling', 'ever'), ('selling', 'ever', 'make'), ('ever', 'make', 'ends'), ('make', 'ends', 'meet')]"
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,"[('late', 'paying', 'bills')]"
Financial crisis,27.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Financial crisis,25-34,[]
just financially i am failing,36.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  just financially i am failing,35-44,[]
Yes ! I’m about to loose my car.,40.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Yes ! I’m about to loose my car.,35-44,"[('yes', 'loose', 'car')]"
I'm behind on bills,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm behind on bills,18-24,[]
It has made financial decisions stressful.,44.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made financial decisions stressful.,35-44,"[('made', 'financial', 'decisions'), ('financial', 'decisions', 'stressful')]"
I could use more to help with medical bills,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I could use more to help with medical bills,55-64,"[('could', 'use', 'help'), ('use', 'help', 'medical'), ('help', 'medical', 'bills')]"
I'm fucked,38.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm fucked,35-44,[]
lam retired so every price increase impacts us greatly. We are having to stick with essentials only unless/until another stimulus is passed.,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam retired so every price increase impacts us greatly. We are having to stick with essentials only unless/until another stimulus is passed.     ,55-64,"[('lam', 'retired', 'every'), ('retired', 'every', 'price'), ('every', 'price', 'increase'), ('price', 'increase', 'impacts'), ('increase', 'impacts', 'us'), ('impacts', 'us', 'greatly'), ('us', 'greatly', 'stick'), ('greatly', 'stick', 'essentials'), ('stick', 'essentials', 'another'), ('essentials', 'another', 'stimulus'), ('another', 'stimulus', 'passed')]"
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,"[('great', 'hard', 'keep'), ('hard', 'keep', 'bills'), ('keep', 'bills', 'monthly'), ('bills', 'monthly', 'subscriptions'), ('monthly', 'subscriptions', 'let'), ('subscriptions', 'let', 'alone'), ('let', 'alone', 'things'), ('alone', 'things', 'need'), ('things', 'need', 'like'), ('need', 'like', 'food'), ('like', 'food', 'toilet'), ('food', 'toilet', 'paper'), ('toilet', 'paper', 'etc')]"
Can't pay my bills,51.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't pay my bills,45-54,"[('ca', 'pay', 'bills')]"
no extra money,65.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  no extra money,65+,[]
We've had to cut down on expenses,30.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We've had to cut down on expenses,25-34,[]
Not a lot of food,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not a lot of food,18-24,[]
"Struggling to pay bills such as: medical, drs, car repairs, utilities and rent",53.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Struggling to pay bills such as: medical, drs, car repairs, utilities and rent    ",45-54,"[('struggling', 'pay', 'bills'), ('pay', 'bills', 'medical'), ('bills', 'medical', 'drs'), ('medical', 'drs', 'car'), ('drs', 'car', 'repairs'), ('car', 'repairs', 'utilities'), ('repairs', 'utilities', 'rent')]"
Behind on rent,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Behind on rent,35-44,[]
I could use another stimulus check to pay property taxes,56.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I could use another stimulus check to pay property taxes ,55-64,"[('could', 'use', 'another'), ('use', 'another', 'stimulus'), ('another', 'stimulus', 'check'), ('stimulus', 'check', 'pay'), ('check', 'pay', 'property'), ('pay', 'property', 'taxes')]"
yes medical bills are rising,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  yes medical bills are rising,55-64,"[('yes', 'medical', 'bills'), ('medical', 'bills', 'rising')]"
Has limited our income,55.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Has limited our income,55-64,[]
It has made me a little more depressed,52.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me a little more depressed,45-54,"[('made', 'little', 'depressed')]"
Worried about my kids and grandkids,62.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Worried about my kids and grandkids,55-64,"[('worried', 'kids', 'grandkids')]"
Impacts me tremendously,42.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Impacts me tremendously,35-44,[]
Havent been able to pay bills on time and struggling to provide for my family,41.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Havent been able to pay bills on time and struggling to provide for my family ,35-44,"[('havent', 'able', 'pay'), ('able', 'pay', 'bills'), ('pay', 'bills', 'time'), ('bills', 'time', 'struggling'), ('time', 'struggling', 'provide'), ('struggling', 'provide', 'family')]"
makes it hader to make the bills,37.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  makes it hader to make the bills,35-44,"[('makes', 'hader', 'make'), ('hader', 'make', 'bills')]"
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,"[('less', 'food', 'high'), ('food', 'high', 'bills'), ('high', 'bills', 'pay')]"
We've had to cut down on expenses,30.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We've had to cut down on expenses,25-34,[]
It has been a struggle but am able to pay bills just not afford as much food,63.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been a struggle but am able to pay bills just not afford as much food ,55-64,"[('struggle', 'able', 'pay'), ('able', 'pay', 'bills'), ('pay', 'bills', 'afford'), ('bills', 'afford', 'much'), ('afford', 'much', 'food')]"
