0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one Age: 42, Income: $25,000 - $50,000  This person is represented by Rick W. Allen (R, GA-12), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made have to rely on a Food Pantry Age: 62, Income: $25,000 - $50,000  This person is represented by Daniel A. Webster (R, FL-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive.  Age: 48, Income: Under $25,000  This person is represented by Matthew L. II Gaetz (R, FL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have no money left to pay some essential bills  Age: 32, Income: Under $25,000  This person is represented by David Trone (D, MD-06), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It is terrible we’re running out of food Age: 23, Income: $25,000 - $50,000  This person is represented by Ralph Abraham (R, LA-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 Became Homeless Age: 31, Income: Under $25,000  This person is represented by Brian K. Fitzpatrick (R, PA-O1), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find  Age: 58, Income: $25,000 - $50,000  This person is represented by Debbie Dingell (D, MI-12), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  stressful Age: 42, Income: More than $150,000  This person is represented by Joyce Beatty (D, OH-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  very hard, it makes paying bills and buying grocerys difficult as well as trying to get things fixed that break down      Age: 66, Income: $25,000 - $50,000  This person is represented by David Kustoff (R, TN-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Can't pay my bills Age: 51, Income: Under $25,000  This person is represented by Bob Gibbs (R, OH- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal  Age: 22, Income: $25,000 - $50,000  This person is represented by Ron Estes (R, KS- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Debt got higher Age: 67, Income: Under $25,000  This person is represented by K. Michael Conaway (R, TX-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills.  Age: 74, Income: Under $25,000  This person is represented by Donald J. Bacon (R, NE-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  And made me fall super behind on my bills and put things like getting a new apartment on hold  Age: 31, Income: Under $25,000  This person is represented by Mike Kelly (R, PA- 16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s hard to get a job so it affects me a lot more  Age: 27, Income: $25,000 - $50,000  This person is represented by Jerrold Lewis Nadler (D, NY-10), who VOTED FOR the HEROES Act, which would have extended UI benefits and  provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Fear of coming down with virus. Age: 64, Income: $25,000 - $50,000  This person is represented by Matt Cartwright (D, PA-08), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided  additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Greatly, I can barely afford my bills Age: 27, Income: $25,000 - $50,000  This person is represented by Tom Rice (R, SC- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me tighten my budget Age: 42, Income: $100,001 - $150,000  This person is represented by Mary Gay Scanlon (D, PA-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
